US Node ID 2012,DS Node ID  2012,Link Type 2012,System Type 2012,Conduit Material 2012,Site Condition 2012,Ground Condition 2012,Shape ID 2012,Conduit Width 2012,Conduit Height 2012,Bottom Roughness 2012,Top Roughness 2012,Conduit Length 2012 (ft),US Invert Level 2012 (ft),DS Invert Level 2012 (ft)
R76.01,R76.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1219.200023,1219.200023,0.015,0.015,1003.492298,-9.69,-12.2
R67.02,R67.03,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2133.60004,2133.60004,0.015,0.015,1103.620803,-9.5,-9.98
R69.01,R70.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1143.000021,1143.000021,0.015,0.015,1047.938117,-9.34,-10.78
R6701.1.1,R67.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2133.60004,2133.60004,0.015,0.015,948.0090046,-9.093417066,-9.5
R07.01,R07.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,990.6000186,1295.400024,0.015,0.015,742.7368005,-9.088,-10.258
R67.01,R6701.1.1,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2133.60004,2133.60004,0.015,0.015,267.5778802,-9,-9.12
68,R47.05,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1295.400024,1295.400024,0.015,0.015,309.1299328,-8.808,-10.018
BR23.01,BR23.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,762.0000143,762.0000143,0.015,0.015,311.6223831,-8.348,-10.458
BR25.02,R25.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,457.2000086,457.2000086,0.015,0.015,412.5535221,-8.188,-9.478
R47.02,68,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1295.400024,990.6000186,0.015,0.015,406.291763,-8.038,-8.808
BR70.02,R70.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1219.200023,1219.200023,0.015,0.015,200.6583278,-8,-11.04
R06.01,R07.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,863.6000162,1143.000021,0.015,0.015,304.198025,-7.948,-9.088
WI-WTP,RW--WI,Cond,combined,UNKN,ROAD,SUBURBS,RECT,6096.000115,3048.000057,0.015,0.015,601.0927782,-7.858,-7.978
C72.001,R72,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1219.200023,1219.200023,0.015,0.015,200.6583278,-7.6,-8.6
BR31.01,R31.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,609.6000115,609.6000115,0.015,0.015,657.958657,-7.588,-10.358
BR12.02,R11.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,200.6583278,-7.528,-15.418
R05.01,R06.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,862.5840162,1143.000021,0.015,0.015,313.0269914,-7.498,-7.948
R68.02,R69.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1066.80002,1066.80002,0.015,0.015,836.7452271,-7.47,-9.34
R67,BR67.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2438.400046,1828.800034,0.015,0.015,100.3291639,-7.45,-7.55
BR69.02,R69.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,762.0000143,762.0000143,0.015,0.015,200.6583278,-7.42,-9.34
R47.01,R47.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,762.0000143,1143.000021,0.015,0.015,501.244503,-7.348,-8.038
BR45.01,BR45.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,609.6000115,609.6000115,0.015,0.015,406.1324556,-7.228,-10.288
R04.01,R05.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1143.000021,863.6000162,0.015,0.015,217.5136274,-7.178,-7.498
R68.01,R68.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1066.80002,1066.80002,0.015,0.015,1379.024358,-7.13,-7.43
BR63.03,R63.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,381.0000072,381.0000072,0.015,0.015,230.757077,-7.1,-8.25
C73.001,R73,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3962.400074,3048.000057,0.015,0.015,559.0341014,-7,-7.6
C73.001,R73,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3962.400074,3048.000057,0.015,0.015,559.0341014,-7,-7.6
