date,usage_mgd
11/24/2020,117.68
11/25/2020,114.68
11/26/2020,111.57
11/27/2020,112.92
11/28/2020,117.51
11/29/2020,118.86
11/30/2020,118.47
12/1/2020,120.62
12/2/2020,120.62
12/3/2020,114.72
12/4/2020,113.74
12/5/2020,115.26
12/6/2020,116.04
12/7/2020,115.75
12/8/2020,115.04
12/9/2020,115.15
12/10/2020,112.07
12/11/2020,111.14
12/12/2020,112.86
12/13/2020,114.46
12/14/2020,115.33
12/15/2020,115.33
12/16/2020,115.35
12/17/2020,116.47
12/18/2020,113.53
12/19/2020,114.02
12/20/2020,114.9
12/21/2020,116.43
12/22/2020,117.83
12/23/2020,114.1
12/24/2020,111.11
12/25/2020,113.74
12/26/2020,110.62
12/27/2020,113.86
12/28/2020,113.86
12/29/2020,113.11
12/30/2020,114.15
12/31/2020,113.89
1/1/2021,113.26
1/2/2021,111.59
1/3/2021,109.08
1/4/2021,108.85
1/5/2021,112.45
1/6/2021,112.99
1/7/2021,112.58
1/8/2021,110.03
1/9/2021,111.14
1/10/2021,111.14
1/11/2021,110.23
1/12/2021,110.81
1/13/2021,113.78
1/14/2021,110.1
1/15/2021,111.58
1/16/2021,112.97
1/17/2021,110.48
1/18/2021,109.16
1/19/2021,111.26
1/20/2021,111.98
1/21/2021,114.64
1/22/2021,108.97
1/23/2021,108.97
1/24/2021,112.85
1/25/2021,112.45
1/26/2021,113.63
1/27/2021,112.8
1/28/2021,111.32
1/29/2021,113.68
1/30/2021,110.98
1/31/2021,110.73
2/1/2021,112.62
2/2/2021,107.09
2/3/2021,113.42
2/4/2021,110.54
2/5/2021,110.54
2/6/2021,112.57
2/7/2021,113.16
2/8/2021,113.09
2/9/2021,113.54
2/10/2021,109.24
2/11/2021,111.7
2/12/2021,112.3
2/13/2021,114.47
2/14/2021,113.59
2/15/2021,113.28
2/16/2021,112.38
2/17/2021,108.37
2/18/2021,108.37
2/19/2021,123.76
2/20/2021,100.82
2/21/2021,114.07
2/22/2021,119.06
2/23/2021,105.94
2/24/2021,109.68
2/25/2021,74.61
2/26/2021,142.14
2/27/2021,113.73
2/28/2021,111.72
3/1/2021,112.53
3/2/2021,110.42
3/3/2021,110.42
3/4/2021,110.36
3/5/2021,110.81
3/6/2021,113.6
3/7/2021,112.87
3/8/2021,113.53
3/9/2021,112.33
3/10/2021,112.32
3/11/2021,109.94
3/12/2021,110.64
3/13/2021,109.42
3/14/2021,111.89
3/15/2021,112
3/16/2021,112
3/17/2021,80.09
3/18/2021,144.15
3/19/2021,111.35
3/20/2021,110.67
3/21/2021,110.81
3/22/2021,110.22
3/23/2021,111.71
3/24/2021,112.71
3/25/2021,104.23
3/26/2021,105.75
3/27/2021,106.93
3/28/2021,108.38
3/29/2021,108.38
3/30/2021,109.86
3/31/2021,111.06
4/1/2021,115.98
4/2/2021,105.27
4/3/2021,104.91
4/4/2021,104.72
4/5/2021,109.57
4/6/2021,107.88
4/7/2021,109.52
4/8/2021,108.53
4/9/2021,110.58
4/10/2021,110.56
4/11/2021,110.56
4/12/2021,106.22
4/13/2021,110.07
4/14/2021,110.34
4/15/2021,109.49
4/16/2021,107.97
4/17/2021,109.41
4/18/2021,108.14
4/19/2021,107.52
4/20/2021,108.23
4/21/2021,110.32
4/22/2021,109.62
4/23/2021,109.9
4/24/2021,109.9
4/25/2021,107.94
4/26/2021,110.12
4/27/2021,110.4
4/28/2021,110.74
4/29/2021,109.54
4/30/2021,110.85
5/1/2021,111
5/2/2021,111.96
5/3/2021,110.86
5/4/2021,111.07
5/5/2021,107.6
5/6/2021,111.9
5/7/2021,111.9
5/8/2021,110.92
5/9/2021,111.12
5/10/2021,105.52
5/11/2021,115.17
5/12/2021,108.47
5/13/2021,111.25
5/14/2021,110.46
5/15/2021,109.49
5/16/2021,110.51
5/17/2021,111.14
5/18/2021,109.4
5/19/2021,107.61
5/20/2021,107.61
5/21/2021,106.77
5/22/2021,108.95
5/23/2021,108.52
5/24/2021,108.37
5/25/2021,107.91
5/26/2021,108.86
5/27/2021,108.85
5/28/2021,107.77
5/29/2021,108.05
5/30/2021,107.88
5/31/2021,107.89
6/1/2021,107.74
6/2/2021,107.74
6/3/2021,105.9
6/4/2021,108.86
6/5/2021,106.54
6/6/2021,108.71
6/7/2021,106.72
6/8/2021,105.95
6/9/2021,111.02
6/10/2021,105.2
6/11/2021,109.18
6/12/2021,108.63
6/13/2021,107.71
6/14/2021,106.53
6/15/2021,106.53
6/16/2021,105.1
6/17/2021,106.35
6/18/2021,106.17
6/19/2021,98.85
6/20/2021,109.49
6/21/2021,105.14
6/22/2021,106.08
6/23/2021,84.67
6/24/2021,130.03
